"SKU"	"Title"	"Field Name"	"Merchant Value"	"Amazon Value"
"ESW75534G-SC"	"1 1/4 ct Natural Garnet & 1/8 ct Diamond Halo Stud Earrings in Silver & 14K Gold"	"metal_stamp"	"925-Sterling"	"925 14k"
"ESW7795WQPNE"	"4 5/8 ct White Quartz Button Stud Earrings in Sterling Silver & 14K Rose Gold"	"metal_stamp"	"925-Sterling"	"23K"
"ESZ80235OX-E"	"5 1/5 ct Natural Onyx Drop Earrings in Sterling Silver & 14K Gold"	"metal_type"	"yellow-gold-and-sterling-silver"	"gold-plated-silver"
"F7754ZZJCSJ1"	"Scottish Terrier Pendant with Crystals in Sterling Silver"	"chain_type"	"Cable"	"Rope"
"FE8671YNC"	"Honora 13-14 mm Pink Ming Freshwater Pearl Stud Earrings in 14K Gold"	"item_name"	"Honora 13-14 mm Pink Ming Freshwater Cultured Pearl Stud Earrings in 14K Gold"	"Galaxy S3 Case Bumper Tpu Skin Cover For Player Action Shots Accessories"
"FE8671YNC"	"Honora 13-14 mm Pink Ming Freshwater Pearl Stud Earrings in 14K Gold"	"brand"	"Honora"	"Black Sabbath"
"FRF015778Y17"	"Just Gold Five-Cone Station Necklace in 14K Gold"	"metal_type"	"yellow-gold"	"gold-plated-silver"
"FRF017969Y17"	"Just Gold Reversible Triangle Necklace in 14K Gold"	"metal_type"	"yellow-gold"	"gold-plated-silver"
"FSR-P12765-SS"	"Jessica Simpson Cross Pendant with Diamond in Sterling Silver"	"total_diamond_weight"	"0.02"	"0.06"
"HZB2505"	"Honora 4-Strand Baroque Freshwater Pearl Bracelet in Sterling Silver"	"item_name"	"Honora 4-Strand Baroque Freshwater Cultured Pearl Bead Bracelet in Sterling Silver"	"Hard Plastic Galaxy S5 Case Back Cover,hot Armies Of Exigo Case At Perfect Diy"
"HZB2505"	"Honora 4-Strand Baroque Freshwater Pearl Bracelet in Sterling Silver"	"brand"	"Honora"	"Black Sabbath"
"KON4141WH"	"Honora 6-6.5 mm Freshwater Pearl Necklace with Crystals in Sterling Silver"	"item_name"	"Honora 6-6.5 mm Freshwater Cultured Pearl Strand Necklace with Crystals in Sterling Silver"	"Fashionable Phone Case For Galaxy S4 With High Grade Design"
"KON4141WH"	"Honora 6-6.5 mm Freshwater Pearl Necklace with Crystals in Sterling Silver"	"brand"	"Honora"	"Black Sabbath"
"LN6712WHHM20"	"Honora Baroque Freshwater Pearl & Hematite Strand Necklace in Sterling Silver"	"item_name"	"Honora Baroque Freshwater Cultured Pearl & Hematite Strand Necklace in Sterling Silver"	"Fashion Design Hard Case Cover/ Protector For Iphone 6 Plus"
"LN6712WHHM20"	"Honora Baroque Freshwater Pearl & Hematite Strand Necklace in Sterling Silver"	"brand"	"Honora"	"Black Sabbath"
"LS7762CY-8"	"""Honora Red Ringed Pearl Earring, Bracelets & Necklace Set in Sterling Silver"""	"item_name"	"Honora Red Freshwater Ringed Cultured Pearl Earring, Bracelets & Necklace Set in Sterling Silver"	"BlackSabbath Aussois Dam Durable Iphone 5c Tpu Flexible Soft Case"
"LS7762CY-8"	"""Honora Red Ringed Pearl Earring, Bracelets & Necklace Set in Sterling Silver"""	"brand"	"Honora"	"Black Sabbath"
"M580052PF2CHE"	"Freshwater Pearl & 1/8 ct Diamond Pyramid Pendant in 14K Gold"	"metal_type"	"yellow-gold"	"gold-plated-silver"
"M71862MORPN-E"	"1 1/2 ct Natural Morganite & 1/8 ct Diamond Halo Stud Earrings in 14K Rose Gold"	"metal_type"	"rose-gold"	"gold-plated-silver"
"M800052PF2-E"	"Freshwater Pearl & 1/8 ct Diamond Pyramid Drop Earrings in 14K Gold"	"metal_type"	"yellow-gold"	"gold-plated-silver"
"NB9392M175-10"	"""Set of 10 6-7 mm Ringed Freshwater Pearl Multi-Color Stretch Bracelets, Warms"""	"item_name"	"Set of 10 6-7 mm Ringed Freshwater Cultured Pearl Multi-Color Stretch Bracelets, Warms"	"New Tpu Hard Case Premium Galaxy S4 Skin Case Cover(beautiful Mount Rainier National Park)"
"NB9392M175-10"	"""Set of 10 6-7 mm Ringed Freshwater Pearl Multi-Color Stretch Bracelets, Warms"""	"brand"	"Finecraft"	"Black Sabbath"
"NBR012000"	"Dolan Bullock Men's Link Bracelet in Stainless Steel & 18K Gold"	"metal_type"	"stainless-steel"	"Steel"
"QVB2252PI"	"Honora Set of 3 Ringed 7-8MM Pistachio Freshwater Pearl Bangle Bracelets"	"item_name"	"Honora Set of 3 Ringed 7-8mm Pistachio Freshwater Cultured Pearl Bangle Bead Bracelets"	"Anti-scratch Case Cover BlackSabbath Protective Fantasy Road Through The Mountains Case For Galaxy S3"
"QVB2252PI"	"Honora Set of 3 Ringed 7-8MM Pistachio Freshwater Pearl Bangle Bracelets"	"brand"	"Honora"	"Black Sabbath"
"R008628V120"	"Men's Eagle Signet Ring in 14K Gold-Plated Sterling Silver"	"metal_type"	"sterling-silver"	"yellow-gold-and-sterling-silver"
"RAX4489E1PKC"	"1/5 ct Natural Emerald Infinity Pendant with Diamonds in 10K Gold"	"setting_type"	"Prongs"	"pave-setting"
"RL01383-8"	"""Sajen Natural Mother of Pearl, Amazonite Quartz Doublet Ring in Sterling Silver"""	"item_name"	"Sajen Ornate Natural Mother of Pearl, Amazonite Quartz Doublet Ring in Sterling Silver Size 8"	"Sterling Silver Mother-of-Pearl Backed Quartz Ring, Size 8"
"RL01383-8"	"""Sajen Natural Mother of Pearl, Amazonite Quartz Doublet Ring in Sterling Silver"""	"brand"	"Sajen"	"Amazon Collection"
"SB4667LBTWTCSI"	"2 1/2 ct Natural London Blue & White Topaz Twist Pendant in Sterling Silver"	"setting_type"	"4-prong"	"pave-setting"
"SB51155CRCAM"	"2 1/5 ct Created Ruby Mother & Child Pendant in Sterling Silver"	"setting_type"	"3-prong"	"3-prong-setting"
"SB5658G7FCAM"	"1/5 ct Teal & White Diamond Mother & Baby Turtle Pendant in Sterling Silver"	"gem_type"	"white-diamond"	"Diamond"
"SB8529SBC75"	"Honora Freshwater Pearl Bracelet with Sterling Silver Charm & Cubic Zirconia"	"setting_type"	"strung"	"bezel-setting"
"SDF008831SDM18"	"Olive Branch Necklace with Diamonds in Sterling Silver"	"setting_type"	"bead-set"	"illusion"
"SDI1212GP5005.7"	"Heart Filigree Ring with Diamond in 14K Gold-Plated Sterling Silver"	"item_name"	"Heart Filigree Ring with Diamond in 14K Gold-Plated Sterling Silver Size 7"	"Diamond-Accent Filigree Heart Ring in 18kt Yellow Gold over Sterling Silver, Size 7"
"SDI1212GP5005.7"	"Heart Filigree Ring with Diamond in 14K Gold-Plated Sterling Silver"	"brand"	"Finecraft"	""
"SF1289FCUV6K"	"Crystaluxe Band Ring with Rose Swarovski Crystals in 14K Rose Gold over Silver"	"item_name"	"Crystaluxe Band Ring with Vintage Rose Swarovski Crystals in 14K Rose Gold-Plated Sterling Silver Size 6"	"Artistique 18k Rose Gold Over Silver Crystal Ring - Made with Swarovski Elements"
"SF1289FCUV6K"	"Crystaluxe Band Ring with Rose Swarovski Crystals in 14K Rose Gold over Silver"	"brand"	"Crystaluxe"	"Artistique"
"SF1292CWVT6K"	"""Crystaluxe Dome Ring with Purple-Lavender-White Fade Swarovski Crystals, Silver"""	"item_name"	"Crystaluxe Dome Ring with Purple-Lavender-White Fade Swarovski Crystals in Sterling Silver Size 6"	"Artistique Sterling Silver Crystal Ombre Dome Ring - Made with Swarovski Elements"
"SF1292CWVT6K"	"""Crystaluxe Dome Ring with Purple-Lavender-White Fade Swarovski Crystals, Silver"""	"brand"	"Crystaluxe"	"Artistique"
"SG9224SWH675"	"HonoraFreshwater Pearl Bypass Bangle Bracelet Swarovski Zirconia Sterling Silver"	"item_name"	"Honora 6-7 mm Freshwater Cultured Pearl Bypass Bangle Bracelet with Swarovski Zirconia in Sterling Silver"	"Premium Case With Scratch-resistant/ Tiger Case Cover For Iphone 5c"
"SG9224SWH675"	"HonoraFreshwater Pearl Bypass Bangle Bracelet Swarovski Zirconia Sterling Silver"	"brand"	"Honora"	"Black Sabbath"
"SM1406FEBL"	"3 1/3 ct Natural Sky Blue Topaz Bouquet Ring in Sterling Silver"	"item_name"	"3 1/"	"Chlo& Zo Sterling Silver Sky Blue Topaz Bypass Ring"
"SM1406FEBL"	"3 1/3 ct Natural Sky Blue Topaz Bouquet Ring in Sterling Silver"	"brand"	"Finecraft"	"Chloe"
"SM4433FCYRGM18"	"Crystaluxe Devil Pendant with Swarovski Crystals 14K Gold-Plated Sterling Silver"	"metal_type"	"yellow-gold-plated-silver"	"sterling-silver"
"SM44589FCHKL"	"Angel Wings & Heart Pendant with Diamonds in 14K Gold-Plated Sterling Silver"	"item_name"	"Angel Wings & Heart Pendant Necklace with Diamonds in 14K Gold-Plated Sterling Silver"	"Miracles 14k Gold Over Silver and Sterling Silver Diamond Accent Heart Charm Angel Pendant"
"SM44589FCHKL"	"Angel Wings & Heart Pendant with Diamonds in 14K Gold-Plated Sterling Silver"	"brand"	"Finecraft"	"Miracles"
"SM6180PF2SZW18E"	"Freshwater Pearl Strand Garland Necklace with Swarovski Zirconia Sterling Silver"	"metal_type"	"sterling-silver"	"gold-plated-silver"
"SM6182PF2SZWE"	"Freshwater Pearl & Swarovski Zirconia Double-Strand Necklace in Sterling Silver"	"metal_type"	"sterling-silver"	"gold-plated-silver"
"SM83335CRCW-AM"	"8 3/4 ct Created Ruby & White Sapphire Cushion Drop Earrings in Sterling Silver"	"setting_type"	"4-prong"	"4-prong-setting"
"SM84783FML-AM"	"4 ct Natural Amethyst Drop Earrings with Diamonds in Sterling Silver"	"setting_type"	"4-prong"	"4-prong-setting"
"SP8190SWH18"	"Honora 8-8.5 mm Freshwater Pearl Drop Pendant with CZ in Sterling Silver"	"size_per_pearl"	"8-8.5"	"8.0-8.5 mm"
"SP8190SWH18"	"Honora 8-8.5 mm Freshwater Pearl Drop Pendant with CZ in Sterling Silver"	"pearl/type"	"freshwater-cultured"	"freshwater-cultured"
"SW8164FSZFWE"	"Drop Earrings with Blue and White Swarovski Zirconia in Sterling Silver"	"metal_type"	"sterling-silver"	"925 Silver"
"SZ6969FSZKWKL"	"Black & White Cubic Zirconia Halo Necklace in Sterling Silver"	"item_name"	"Black & White Cubic Zirconia Halo Necklace in Sterling Silver"	"Emotions Sterling Silver Necklace - Made with Swarovski Zirconia"
"SZ6969FSZKWKL"	"Black & White Cubic Zirconia Halo Necklace in Sterling Silver"	"brand"	"Finecraft"	"Emotions"
"TRF001473Y17"	"Just Gold Teeny-Tiny Cupcake Pendant in 10K Gold"	"item_name"	"Just Gold Teeny-Tiny Cupcake Pendant Necklace in 10K Gold"	"Teeny Tiny by Everlasting Gold 10k Gold Cupcake Pendant"
"TRF001473Y17"	"Just Gold Teeny-Tiny Cupcake Pendant in 10K Gold"	"brand"	"Just Gold"	"Everlasting Gold"
"XMP2631YCZ18"	"'Mom' Heart Pendant with Cubic Zirconia in 14K Gold-Plated Sterling Silver"	"setting_type"	"Prongs"	"bead-set"
"Z72243S8W-AM"	"1 1/10 ct Natural Sapphire & 1/8 ct Diamond Drop Earrings in 14K White Gold"	"setting_type"	"3-prong"	"Prongs"
